"ID","Study_ID","Year","Site","lulc_N","lulc_N1","lulc_N2","lulc_N3","lulc_N4","lulc_N5","buffer500_RPG_Maïs (hors maïs doux)","buffer500_RPG_Orge d'hiver","buffer500_RPG_Blé dur d’hiver","buffer500_RPG_Tournesol","buffer500_RPG_Jachère de 5 ans ou moins","buffer500_RPG_Luzerne implantée pour la récolte 2015","buffer500_RPG_Prairie de 6 ans ou plus (couvert herbacé)","buffer500_RPG_Prairie en rotation longue (6 ans ou plus)","buffer500_RPG_Prairie temporaire de moins de 5 ans et autre mélange avec graminées","buffer500_RPG_Poire","buffer500_RPG_Autre verger (y compris verger DOM)","buffer500_RPG_Vigne (sauf vigne rouge)","buffer500_RPG_Olive","buffer500_RPG_Betterave","buffer500_RPG_Concombre, cornichon et courgette","buffer500_RPG_Courge musquée / Butternut","buffer500_RPG_Autre légume ou fruit annuel","buffer500_RPG_Autre légume ou fruit pérenne (hors petit fruit à baie)","buffer500_RPG_Pomme de terre","buffer500_RPG_Surface agricole temporairement non admissible, autre que surface pâturable","buffer500_OSO_Bâtis diffus","buffer500_OSO_Zones industrielles et commerciales","buffer500_OSO_Céréales à pailles","buffer500_OSO_Tournesol","buffer500_OSO_Prairies","buffer500_OSO_Vergers","buffer500_OSO_Vignes","buffer500_OSO_Forêts de feuillus","buffer500_OSO_Landes ligneuses","buffer500_OSO_Serres"
"SEBIOPAG_BVD_191_2021","SEBIOPAG_BVD",2021,"191","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0,0,0,0,0,0,0,0,38.57,0,0,0,0,0,0,0,11.41,2.81,13.48,0.56,0,0,5.41,15.54,0.51,9.79,1.08,0
"SEBIOPAG_BVD_191_2022","SEBIOPAG_BVD",2022,"191","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0,0,0.49,0,0,0,0.15,0,37.48,0,0,0,0,0,0,0,11.28,3.39,10.08,0.99,0,0,5.38,16.28,1.23,9.69,1.41,1.71
"SEBIOPAG_BVD_194_2020","SEBIOPAG_BVD",2020,"194","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,0,0,0,0,0,0,12.2,0,0,0,28.15,0,0,0,0,0,0,0.92,0,0.65,5.68,0,0,0,6.31,20.93,0.32,23.24,1.05,0
"SEBIOPAG_BVD_194_2021","SEBIOPAG_BVD",2021,"194","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0,0,0,0,12.12,0,0.92,0,29.36,0,0,0,0,0,0,0,0,0.65,6.31,0,0,0,4.95,15.59,0.2,27.75,1.71,0
"SEBIOPAG_BVD_194_2022","SEBIOPAG_BVD",2022,"194","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0,0,0,0,13.8,0,0.92,0,28.82,0,0,0,0,0,0,0,0,1.65,4.66,0,0,0,4.33,20.98,0.64,22.75,0.41,0.08
"SEBIOPAG_BVD_200_2020","SEBIOPAG_BVD",2020,"200","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,0,0,0,8.11,1.03,0,0.5,0,1.74,0,35.45,0,0,0,0,5.01,2.01,0,0,2.89,0.49,0,0,0,5.92,28.42,1.23,4.92,0.05,0
"SEBIOPAG_BVD_200_2021","SEBIOPAG_BVD",2021,"200","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0.71,6.76,0,0.31,0.54,0,2.58,0,64.69,0,0,0,0,0,6.13,0,0,2.92,0.93,0,0,0,5.33,3.37,0.06,2.12,0.19,0
"SEBIOPAG_BVD_200_2022","SEBIOPAG_BVD",2022,"200","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,5.45,0,0,0.31,0.54,0,6.08,0,66.51,0,0,0,0,0,1.7,0,0,2.74,0.48,0,0,0,5.01,4.52,0.07,1.87,0.11,0
"SEBIOPAG_BVD_205_2020","SEBIOPAG_BVD",2020,"205","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",NA,0,0,0,0,33.92,0,8.08,2.75,3.62,0,25.7,0,0,0,3.33,0,0,0,0,0.12,0.06,0,0,0,2.8,13.87,0,5.66,0.09,0
"SEBIOPAG_BVD_205_2021","SEBIOPAG_BVD",2021,"205","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)","RPG_Autre verger (y compris verger DOM)",0,0,0,0,33.9,0,10.23,4.22,0,0,25.71,0,0,0,3.33,0,0,0,0,0.1,0.01,0,0,0,2.09,16.41,0,4,0,0
