"code
culture",libelle culture,"identifiant
groupe culture","code groupe
culture","libelle groupe
culture","code groupe
intermédiaire","libelle groupe
intermédiaire",id_group,id
CPZ,autre_cereale_printemps_genre_zea,4,cer_2nd,autres_cereales,cer_2nd_p,autres_cereales_printemps,14,31
MCS,melange_cereales_printemps,4,cer_2nd,autres_cereales,cer_2nd_p,autres_cereales_printemps,14,32
MLT,millet,4,cer_2nd,autres_cereales,cer_2nd_p,autres_cereales_printemps,14,33
SGP,seigle_printemps,4,cer_2nd,autres_cereales,cer_2nd_p,autres_cereales_printemps,14,34
SRS,sarrasin,4,cer_2nd,autres_cereales,cer_2nd_p,autres_cereales_printemps,14,35
SOG,sorgho,4,cer_2nd,autres_cereales,SOG,sorgho,15,36
TTH,triticale_hiver,4,cer_2nd,autres_cereales,TTH,triticale_hiver,16,37
TTP,triticale_printemps,4,cer_2nd,autres_cereales,TTP,triticale_printemps,17,38
CZH,colza_hiver,5,colz,colza,CZH,colza_hiver,18,39
CZP,colza_printemps,5,colz,colza,olea,autres_oleagineux,19,40
TRN,tournesol,6,TRN,tournesol,TRN,tournesol,20,41
ARA,arachide,7,olea,autres_oleagineux,olea,autres_oleagineux,21,42
LIH,lin_non_textile_hiver,7,olea,autres_oleagineux,lin_non_text,lin_non_textile,22,43
LIP,lin_non_textile_printemps,7,olea,autres_oleagineux,lin_non_text,lin_non_textile,22,44
MOL,melange_oleagineux,7,olea,autres_oleagineux,olea,autres_oleagineux,23,45
NVE,navette_ete,7,olea,autres_oleagineux,olea,autres_oleagineux,23,46
NVH,navette_hiver,7,olea,autres_oleagineux,olea,autres_oleagineux,23,47
OAG,autre_oleagineux_autre_genre,7,olea,autres_oleagineux,olea,autres_oleagineux,23,48
OEH,autre_oleagineux_helianthus,7,olea,autres_oleagineux,olea,autres_oleagineux,23,49
OEI,oeillette,7,olea,autres_oleagineux,olea,autres_oleagineux,23,50
OHN,autre_oleagineux_hiver_brassica_napus,7,olea,autres_oleagineux,olea,autres_oleagineux,23,51
