"ID","haie_cover","haie_biomass_kg","haie_biomass_kgperha","haie_nutzung_ha","haie_nutzung_perc","haie_nutzung_length_m","haie_bdhaie_length_m","haie_bdhaie_ha","haie_bdhaie_perc"
"DIVAG_25AB-M2_2019",0.94419926404953,907.454833984375,203.205737540965,NA,NA,NA,17.0567495046107,0.0170567495046107,0.302690497508115
"DIVAG_26AB-M_2019",3.12358379364014,6674.078125,2561.44904570228,NA,NA,NA,207.904353204483,0.207904353204483,6.27782865436688
"DIVAG_27AB-M_2019",15.5459308624268,35464.8671875,11123.0042808263,NA,NA,NA,545.741621368385,0.545741621368385,13.5572009476105
"DIVAG_27AB-P_2019",8.21034908294678,19489.900390625,4952.33161845778,NA,NA,NA,305.502345629248,0.305502345629248,6.25385415614825
"DIVAG_8AB-M_2019",9.49880790710449,15208.2060546875,4033.56264345617,NA,NA,NA,420.169475322014,0.420169475322014,8.41552819870714
"DIVAG_10AB-M_2019",5.34545993804932,2328.4189453125,1752.65597677948,NA,NA,NA,292.590997263626,0.292590997263626,15.8570286273514
"DIVAG_11AB-M_2019",7.606116771698,5924.41064453125,2956.48282777166,NA,NA,NA,120.274946101833,0.120274946101833,4.61051941762244
"DIVAG_12AB-P_2019",11.669207572937,21914.228515625,7820.28121871163,NA,NA,NA,391.234700870312,0.391234700870312,10.9630096102009
"DIVAG_13AB-P_2019",14.6165819168091,23429.474609375,8714.20879040516,NA,NA,NA,435.102199806907,0.435102199806907,12.7734091658888
"DIVAG_14AB-P_2019",7.57940340042114,4478.931640625,2721.46877913169,NA,NA,NA,459.379174108888,0.459379174108888,20.2154149106178
"DIVAG_15AB-M1_2019",2.4159574508667,3246.98046875,637.941811436055,NA,NA,NA,834.147882560156,0.834147882560156,13.4838460320099
"DIVAG_16AB-M_2019",8.72180366516113,29274.16796875,4868.77622720955,NA,NA,NA,400.65281776215,0.40065281776215,5.64999156565068
"DIVAG_17AB-P_2019",12.4274253845215,40063.92578125,9867.81885530074,NA,NA,NA,784.992333973043,0.784992333973043,15.4290513099654
"DIVAG_18AB-P_2019",34.7074775695801,27030.640625,22198.7173720533,NA,NA,NA,212.041464280096,0.212041464280096,11.7828285853219
"DIVAG_19AB-P_2019",11.3883018493652,6249.044921875,6409.80912316637,NA,NA,NA,275.976748730553,0.275976748730553,17.8068531024627
"DIVAG_1AB-P_2019",4.842444896698,8166.69482421875,2070.04074669392,NA,NA,NA,532.77092457679,0.53277092457679,10.1930199425999
"DIVAG_21AB-P_2019",5.96957778930664,4429.21533203125,1799.2951823185,NA,NA,NA,263.966964792216,0.263966964792216,8.0120104594176
"DIVAG_22AB-M_2019",5.42094469070435,2475.11474609375,1060.61607849081,NA,NA,NA,369.066127377148,0.369066127377148,12.2257069376093
"DIVAG_2AB-P_2019",7.38968372344971,14589.8232421875,3296.71836929781,NA,NA,NA,492.447800165931,0.492447800165931,9.07858135603997
"DIVAG_3AB-P_2019",17.0061664581299,28391.296875,8334.90498618064,NA,NA,NA,703.505668965679,0.703505668965679,16.6538533913995
"DIVAG_4AB-P_2019",2.0885865688324,1464.828125,618.064373052645,NA,NA,NA,133.205375969735,0.133205375969735,4.28381070515224
"DIVAG_5AB-P_2019",6.07353496551514,6034.54833984375,2236.15441028677,NA,NA,NA,379.467216128825,0.379467216128825,11.0942293501892
"DIVAG_7AB-P_2019",11.0018510818481,21673.765625,5407.1002569547,NA,NA,NA,606.926659802723,0.606926659802723,12.2498571527986
"DIVAG_8AB-P_2019",2.69894671440125,2300.9892578125,2165.72543333205,NA,NA,NA,46.6288257380636,0.0466288257380637,2.44873092285114
"DIVAG_9AB-P_2019",2.76627135276794,3076.45556640625,617.436912173672,NA,NA,NA,1127.14715058327,1.12714715058327,18.1875085038507
"DIVAG_6AB-P_2019",7.16124725341797,9432.2119140625,2499.73102094037,NA,NA,NA,476.304160927237,0.476304160927237,10.2635687872819
"SEBIOPAG_ZAAr_R01_2018",6.63228797912598,37888.3359375,4801.61156568619,NA,NA,NA,786.6388874339,0.7866388874339,8.62478730001633
"SEBIOPAG_ZAAr_R02_2018",1.5800074338913,2898.88134765625,404.562560486507,NA,NA,NA,303.418305936167,0.303418305936167,3.61204638127842
"SEBIOPAG_ZAAr_R03_2018",2.91919755935669,2881.30346679688,912.607539740056,NA,NA,NA,249.101324316662,0.249101324316662,6.37878265793215
"SEBIOPAG_ZAAr_R04_2018",11.0348873138428,34582.0703125,9785.24004163814,NA,NA,NA,356.065474252223,0.356065474252223,8.06839559366679
"SEBIOPAG_ZAAr_R05_2018",1.9563752412796,5464.896484375,1072.3700864471,NA,NA,NA,209.118945067495,0.209118945067495,3.45487646979815
"SEBIOPAG_ZAAr_R06_2018",2.33311557769775,5390.57373046875,884.753466685508,NA,NA,NA,350.87835291447,0.35087835291447,4.77519093314697
"SEBIOPAG_ZAAr_R07_2018",1.92203652858734,3324.93969726562,702.249972788419,NA,NA,NA,263.944195252554,0.263944195252554,4.62713305872904
"SEBIOPAG_ZAAr_R08_2018",2.76340126991272,7411.56884765625,883.678337319635,NA,NA,NA,243.847050336779,0.243847050336779,2.4893911209619
"SEBIOPAG_ZAAr_R09_2018",10.3252201080322,16679.52734375,4421.41425327479,NA,NA,NA,664.676589282875,0.664676589282875,13.7837808273067
"SEBIOPAG_ZAAr_R10_2018",3.10713171958923,1936.76403808594,688.352915857062,NA,NA,NA,556.457536230645,0.556457536230645,15.4778294871662
"SEBIOPAG_ZAAr_R11_2018",0.313459455966949,445.312438964844,116.726649866012,NA,NA,NA,146.238438953195,0.146238438953195,3.15153760265398
"SEBIOPAG_ZAAr_R12_2018",6.003821849823,7098.8486328125,3038.18631749219,NA,NA,NA,401.646780319802,0.401646780319802,13.4388764758227
"SEBIOPAG_ZAAr_R13_2018",11.6100597381592,179976.5,11099.262314349,NA,NA,NA,866.047815704145,0.866047815704145,4.39938782827907
"SEBIOPAG_ZAAr_R14_2018",2.4159574508667,3246.98046875,637.941811436055,NA,NA,NA,834.147882560156,0.834147882560156,13.4838460320099
"SEBIOPAG_ZAAr_R15_2018",7.00034713745117,57223.5078125,6876.7097564918,NA,NA,NA,538.774178347996,0.538774178347996,5.50074498308674
"SEBIOPAG_ZAAr_R16_2018",9.54092693328857,20712.037109375,3773.14844874105,NA,NA,NA,939.363009407159,0.939363009407159,14.4159239519685
"SEBIOPAG_ZAAr_R17_2018",2.97488903999329,974.946838378906,789.812768426616,NA,NA,NA,62.582494122187,0.062582494122187,3.59559155129771
"SEBIOPAG_ZAAr_R18_2018",6.73184585571289,18798.802734375,4425.93201899575,NA,NA,NA,324.037302765854,0.324037302765854,6.33541785446172
"SEBIOPAG_ZAAr_R19_2018",7.78990936279297,5133.82421875,4248.10425519222,NA,NA,NA,212.585955464575,0.212585955464575,12.534585278277
"SEBIOPAG_ZAAr_R20_2018",4.57395124435425,27805.50390625,4008.02351822718,NA,NA,NA,380.262575734767,0.380262575734767,4.68898575452492
"SEBIOPAG_ZAAr_R01_2021",6.28792810440063,35247.34765625,4530.63884920151,NA,NA,NA,773.399864602662,0.773399864602662,8.6067600659613
"SEBIOPAG_ZAAr_R02_2021",1.58533549308777,2900.94482421875,405.546928838482,NA,NA,NA,306.604666416096,0.306604666416096,3.65345557597313
"SEBIOPAG_ZAAr_R03_2021",2.91917657852173,2881.263671875,912.603725117893,NA,NA,NA,249.099886094507,0.249099886094507,6.3788029812261
"SEBIOPAG_ZAAr_R04_2021",8.42136573791504,38037.51171875,7571.41310705883,NA,NA,NA,464.456655426786,0.464456655426786,7.74125827749816
"SEBIOPAG_ZAAr_R05_2021",1.97647833824158,5464.341796875,1085.02759480817,NA,NA,NA,209.1169028303,0.2091169028303,3.49049684190968
"SEBIOPAG_ZAAr_R06_2021",2.33311557769775,5390.57373046875,884.753466685508,NA,NA,NA,350.87835291447,0.35087835291447,4.77519093314697
"SEBIOPAG_ZAAr_R09_2021",10.1326370239258,16015.4306640625,4401.30339929959,NA,NA,NA,631.623506892419,0.631623506892419,13.5011917000123
"SEBIOPAG_ZAAr_R11_2021",0.313459455966949,445.312438964844,116.726649866012,NA,NA,NA,146.238438953195,0.146238438953195,3.15153760265398
"SEBIOPAG_ZAAr_R12_2021",6.0038046836853,7098.77783203125,3038.1810364184,NA,NA,NA,401.643502068412,0.401643502068412,13.4388798270352
"SEBIOPAG_ZAAr_R13_2021",15.2299022674561,108486.7265625,16443.0790530112,NA,NA,NA,308.492359452066,0.308492359452066,3.12754192887069
"SEBIOPAG_ZAAr_R14_2021",2.41630148887634,3246.98046875,638.164380551516,NA,NA,NA,834.147882560156,0.834147882560156,13.4857656615684
"SEBIOPAG_ZAAr_R15_2021",10.090765953064,22794.626953125,9348.35073611355,NA,NA,NA,349.273861438456,0.349273861438456,10.726671206468
"SEBIOPAG_ZAAr_R16_2021",9.28096866607666,12019.85546875,4060.13408627582,NA,NA,NA,470.91555170326,0.47091555170326,12.3316261998154
"SEBIOPAG_ZAAr_R17_2021",2.97488903999329,974.946838378906,789.812768426616,NA,NA,NA,62.582494122187,0.062582494122187,3.59559155129771
"SEBIOPAG_ZAAr_R18_2021",6.73165988922119,18798.07421875,4425.82319611379,NA,NA,NA,324.03149590713,0.32403149590713,6.33538425399336
"SEBIOPAG_ZAAr_R19_2021",7.79790163040161,5128.58935546875,4243.94937498071,NA,NA,NA,209.607115494993,0.209607115494993,12.3896890936363
"SEBIOPAG_ZAAr_R20_2021",4.79856777191162,31688.900390625,3578.18809111081,NA,NA,NA,491.615334792852,0.491615334792852,4.81599116783965
"SEBIOPAG_ZAAr_R01_2023",6.28792810440063,35247.34765625,4530.63884920151,NA,NA,NA,773.399864602662,0.773399864602662,8.6067600659613
"SEBIOPAG_ZAAr_R02_2023",1.58527815341949,2900.8037109375,405.52596305941,NA,NA,NA,306.61648007046,0.30661648007046,3.65358690124757
"SEBIOPAG_ZAAr_R03_2023",2.91886019706726,2880.82275390625,912.459680346437,NA,NA,NA,249.056341160277,0.249056341160277,6.37765897941271
"SEBIOPAG_ZAAr_R04_2023",8.42123031616211,38037.0390625,7571.35881055992,NA,NA,NA,464.47314280933,0.46447314280933,7.74157050606282
"SEBIOPAG_ZAAr_R05_2023",4.32309150695801,27303.662109375,3852.93719922448,NA,NA,NA,419.385961219434,0.419385961219434,5.1222449670893
"SEBIOPAG_ZAAr_R06_2023",2.33311557769775,5390.57373046875,884.753466685508,NA,NA,NA,350.87835291447,0.35087835291447,4.77519093314697
"SEBIOPAG_ZAAr_R09_2023",10.1326370239258,16015.4306640625,4401.30339929959,NA,NA,NA,631.623506892419,0.631623506892419,13.5011917000123
"SEBIOPAG_ZAAr_R11_2023",0.313368916511536,445.172668457031,116.689751867353,NA,NA,NA,146.238438953195,0.146238438953195,3.15153169654007
"SEBIOPAG_ZAAr_R12_2023",6.0038046836853,7098.77783203125,3038.1810364184,NA,NA,NA,401.643502068412,0.401643502068412,13.4388798270352
"SEBIOPAG_ZAAr_R13_2023",17.9460735321045,136976.59375,18668.0614621305,NA,NA,NA,539.949421054533,0.539949421054533,5.35964408150621
"SEBIOPAG_ZAAr_R14_2023",3.19580554962158,2952.21264648438,1003.35067217675,NA,NA,NA,443.313482472735,0.443313482472735,11.260697238038
"SEBIOPAG_ZAAr_R15_2023",10.0958757400513,22794.626953125,9353.59839918013,NA,NA,NA,349.273863817449,0.349273863817449,10.732102471252
"SEBIOPAG_ZAAr_R16_2023",9.43403816223145,20208.794921875,3747.5389966567,NA,NA,NA,917.83620140365,0.91783620140365,14.2208202954084
