id,code,name,source,grp1,code_grp1,name_grp1,grp2,code_grp2,name_grp2,keep_ag
84,CHF,chou_fourrager,rpg,16,fou,fourrage,31,fou_autres,fourrage_autres,1
85,FAG,autre_fourrage_annuel_autre_genre,rpg,16,fou,fourrage,31,fou_autres,fourrage_autres,1
86,FSG,autre_plante_fourragere_sarclee_autre_genre,rpg,16,fou,fourrage,31,fou_autres,fourrage_autres,1
87,GAI,gaillet,rpg,16,fou,fourrage,31,fou_autres,fourrage_autres,1
88,NVF,navet_fourrager,rpg,16,fou,fourrage,31,fou_autres,fourrage_autres,1
89,RDF,radis_fourrager,rpg,16,fou,fourrage,31,fou_autres,fourrage_autres,1
90,CPL,fourrage_compose,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
91,FF5,feverole_fourragere_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
92,FF6,feverole_fourragere_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
93,FF7,feverole_fourragere_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
94,FF8,feverole_fourragere_2018,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
95,FFO,autre_feverole_fourragere,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
96,GES,gesse,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
97,JO5,jarosse_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
98,JO6,jarosse_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
99,JO7,jarosse_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
100,JO8,jarosse_2018,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
101,JOD,jarosse_deshyd,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
102,JOS,autre_jarosse,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
103,LEF,lentille_fourragere,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
104,LFH,autre_lupin_fourrager_hiver,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
105,LFP,autre_lupin_fourrager_printemps,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
106,LH5,lupin_fourrager_hiver_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
107,LH6,lupin_fourrager_hiver_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
108,LH7,lupin_fourrager_hiver_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
109,LO7,lotier_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
110,LOT,lotier,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
111,LP5,lupin_fourrager_printemps_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
112,LP6,lupin_fourrager_printemps_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
113,LP7,lupin_fourrager_printemps_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
114,MC5,melange_leg_fou_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
115,MC6,melange_leg_fou_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
116,MC7,melange_leg_fou_2017_herb_entre_elles,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
117,MC8,melange_leg_fou_2018_herb_entre_elles,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
118,ME5,melilot_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
119,ME6,melilot_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
120,ME7,melilot_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
121,ME8,melilot_2018,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
122,MED,melilot_deshyd,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
123,MEL,autre_melilot,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
124,MH5,melange_leg_fou_2015_herb,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
125,MH6,melange_leg_fou_2016_herb,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
126,MH7,melange_leg_fou_2017_herb,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
127,MH8,melange_leg_fou_2018_herb,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
128,MIN,minette,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
129,ML5,melange_leg_fou_2015_herb_entre_elles,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
130,ML6,melange_leg_fou_2016_herb_entre_elles,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
131,ML7,melange_leg_fou_2017_herb_entre_elles,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
132,ML8,melange_leg_fou_2018_herb_entre_elles,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
133,MLC,melange_leg_fou_cereale,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
134,MLD,melange_leg_deshyd_entre_elles,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
135,MLF,melange_leg_fou,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
136,MLG,melange_legumineuses_preponderantes_au_semis_graminees_fourrageres_temporaire,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
137,MLS,melange_legumineuses_non_fourrageres_prep,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
138,PFH,autre_pois_fourrager_hiver,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
139,PFP,autre_pois_fourrager_printemps,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
140,PH5,pois_fourrager_hiver_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
141,PH6,pois_fourrager_hiver_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
142,PH7,pois_fourrager_hiver_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
143,PH8,pois_fourrager_hiver_2018,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
144,PP5,pois_fourrager_printemps_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
145,PP6,pois_fourrager_printemps_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
146,PP7,pois_fourrager_printemps_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
147,SA5,sainfoin_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
148,SA6,sainfoin_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
149,SA7,sainfoin_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
150,SAD,sainfoin_deshyd,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
151,SAI,autre_sainfoin,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
152,SE5,serradelle_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
153,SE6,serradelle_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
154,SE7,serradelle_2017,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
155,SED,serradelle_deshyd,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
156,SER,autre_serradelle,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
157,TR5,trefle_2015,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
158,TR6,trefle_2016,rpg,16,fou,fourrage,32,fou_fabacees,fourrage_fabacees,1
