"Study_ID","Plot_ID","Year","Crop_species","ID","id_parcel","code_cultu","id_cultu","Perim_m","Area_ha","Median_fieldsize_500m_ha","Median_fieldsize_1000m_ha","N-1","id_parcel_N-1","code_cultu_N-1","id_cultu_N-1","N-2","id_parcel_N-2","code_cultu_N-2","id_cultu_N-2","N-3","id_parcel_N-3","code_cultu_N-3","id_cultu_N-3","N-4","id_parcel_N-4","code_cultu_N-4","id_cultu_N-4"
"DIVAG","27AB-M",2019,"Triticale, spelt, faba bean","DIVAG_27AB-M_2019","10156535","MPC",63,805.274263333323,3.18842520348877,1.45889621583701,1.4254942040985,2018,"10156535","AVH",8,2017,"10156535","HAR",322,2016,"3591746","MPC",63,2015,"3591746","SRS",35
"DIVAG","27AB-P",2019,"Winter wheat","DIVAG_27AB-P_2019","12376144","BTH",1,922.673606873743,3.93549985990122,1.14653099264056,1.13378555523597,2018,"12376144","CML",233,2017,"10156531","BTH",1,2016,"3592005","TR6",158,2015,"10379377","MCR",19
"DIVAG","8AB-M",2019,"Triticale, pea","DIVAG_8AB-M_2019","12347694","MCR",19,1197.79806235721,3.77041523809242,2.63129773811437,2.34944074155243,2018,"12347694","MIS",5,2017,"3663806","MH5",124,2016,"3663806","MH5",124,2015,"3663806","MH5",124
"DIVAG","10AB-M",2019,"Winter wheat + ?","DIVAG_10AB-M_2019","12376452","MCR",19,485.391517894479,1.32850883240132,3.03583537251533,2.48809361033516,2018,"12376452","MLG",136,2017,"3603064","MH6",125,2016,"3603064","MH6",125,2015,"3603064","MIE",4
"DIVAG","11AB-M",2019,"Meslin","DIVAG_11AB-M_2019","14857941","MPC",63,573.511616271732,2.00387115016547,2.41327573172776,2.31437979613072,2018,"12386917","MPC",63,2017,"10169909","BVF",82,2016,"3569935","PTR",188,2015,"10359976","PTR",188
"DIVAG","12AB-P",2019,"Winter wheat","DIVAG_12AB-P_2019","3630867","BTH",1,734.50454618641,2.80223023990374,2.08149714279371,2.07312533122475,2018,"3630867","PTR",188,2017,"3630867","PTR",188,2016,"3630867","PTR",188,2015,"3630867","PTR",188
"DIVAG","13AB-P",2019,"Winter wheat","DIVAG_13AB-P_2019","14847386","BTH",1,690.888290867954,2.68865196748237,1.85512326947724,1.67181983917102,2018,"3672146","MCR",19,2017,"3672146","MIE",4,2016,"3672146","MIE",4,2015,"10380556","PTR",188
"DIVAG","14AB-P",2019,"Winter wheat","DIVAG_14AB-P_2019","14862327","BTH",1,597.759373919125,1.64577733721202,1.18242246722534,1.49446806226914,2018,"12412648","MIS",5,2017,"3672140","PTR",188,2016,"3672140","PTR",188,2015,"10379531","PTR",188
"DIVAG","15AB-M1",2019,"Winter wheat + ?","DIVAG_15AB-M1_2019","3726252","MCR",19,1066.15247613909,5.08977529069744,1.95365136275743,1.99542428992349,2018,"3726252","MLT",33,2017,"3726252","CZH",39,2016,"3726252","SGH",26,2015,"3726252","CZH",39
"DIVAG","16AB-M",2019,"Spelt, faba bean","DIVAG_16AB-M_2019","14860853","MCR",19,1048.78324543825,6.01263368916997,2.25951564376394,2.25469626255594,2018,"3726250","SGH",26,2017,"3726250","SRS",35,2016,"3726250","MPC",63,2015,"3726250","SRS",35
"DIVAG","17AB-P",2019,"Winter wheat","DIVAG_17AB-P_2019","14837686","BTH",1,997.057840829864,4.06005890143886,3.12597200768638,2.1715533565999,2018,"12353513","PTR",188,2017,"10181841","PTR",188,2016,"3596049","PTR",188,2015,"3596049","PTR",188
"DIVAG","18AB-P",2019,"Winter wheat","DIVAG_18AB-P_2019","3628402","BTH",1,550.790792757248,1.21766677650618,1.21766677650618,1.47454986630195,2018,"3628402","PTR",188,2017,"3628402","PTR",188,2016,"3628402","PTR",188,2015,"3628402","PTR",188
"DIVAG","19AB-P",2019,"Winter wheat","DIVAG_19AB-P_2019","10157330","BTH",1,546.680966892789,0.974919034529384,1.4086313192239,1.23471152144551,2018,"10157330","PTR",188,2017,"10157330","PTR",188,2016,"3628404","BTH",1,2015,"3628404","PTR",188
"DIVAG","1AB-P",2019,"Winter wheat","DIVAG_1AB-P_2019","14827429","BTH",1,1259.87108537091,3.94518554152224,2.4016726919464,1.61256171429162,2018,"12413244","PTC",325,2017,"3651962","CHV",70,2016,"3651962","MCR",19,2015,"10364743","MIS",5
"DIVAG","21AB-P",2019,"Winter wheat","DIVAG_21AB-P_2019","14881326","BTH",1,803.491894996482,2.46163907709903,1.71078636057135,1.39928562592595,2018,"12376265","PTC",325,2017,"10156537","PPO",324,2016,"3592016","BTH",1,2015,"10379394","TR5",157
"DIVAG","22AB-M",2019,"Spelt, faba bean","DIVAG_22AB-M_2019","3565754","MPC",63,657.725090962508,2.33365757533647,2.32086752619935,1.74545690687121,2018,"3565754","MPC",63,2017,"3565754","MH5",124,2016,"3565754","MH6",125,2015,"3565754","MPC",63
"DIVAG","2AB-P",2019,"Winter wheat","DIVAG_2AB-P_2019","12368674","BTH",1,968.328025918687,4.42555948304893,2.82089818508551,2.49326029130221,2018,"12368674","MIS",5,2017,"3720048","MPC",63,2016,"3720048","CZH",39,2015,"10362505","ORH",6
"DIVAG","3AB-P",2019,"Winter wheat","DIVAG_3AB-P_2019","14874066","BTH",1,790.623232133184,3.40631319997925,1.75214653797467,1.56325442641661,2018,"12380007","BVF",82,2017,"10180105","PTR",188,2016,"3737405","PTR",188,2015,"3737405","PTR",188
"DIVAG","4AB-P",2019,"Winter wheat","DIVAG_4AB-P_2019","14915811","BTH",1,709.849895345637,2.37002517677108,2.51771055667299,2.49992027521618,2018,"12337054","BVF",82,2017,"10158517","MH5",124,2016,"3678180","MH5",124,2015,"3678180","MH5",124
"DIVAG","5AB-P",2019,"Winter wheat","DIVAG_5AB-P_2019","3582321","BTH",1,691.273201548666,2.69862774774567,3.14026911477544,2.4969423804827,2018,"3582321","MIS",5,2017,"3582321","PTR",188,2016,"3582321","PTR",188,2015,"3582321","PTR",188
"DIVAG","7AB-P",2019,"Winter wheat","DIVAG_7AB-P_2019","14848260","BTH",1,917.913185873682,4.00838981987117,1.20753880692845,1.44627488516918,2018,"12357169","MIE",4,2017,"3634804","MH6",125,2016,"3634804","MH6",125,2015,"3634804","BTH",1
"DIVAG","8AB-P",2019,"Winter wheat","DIVAG_8AB-P_2019","3599098","PTR",188,811.426939120226,1.06245658955593,1.90345488617322,2.33122610804982,2018,"3599098","PTR",188,2017,"3599098","PTR",188,2016,"3599098","PTR",188,2015,"10351172","PTR",188
"DIVAG","9AB-P",2019,"Winter wheat","DIVAG_9AB-P_2019","14870803","BTH",1,1183.85641317999,4.9826233348694,2.51831391434288,2.38033814907596,2018,"12355890","BVF",82,2017,"10177306","PTR",188,2016,"3582308","PTR",188,2015,"10364415","PTR",188
"DIVAG","6AB-P",2019,"Winter wheat","DIVAG_6AB-P_2019","14848367","BTH",1,840.00174263252,3.773290740103,1.21425538092447,1.5104795100301,2018,"12357106","BVF",82,2017,"3634586","MLG",136,2016,"3634586","MLG",136,2015,"3634586","MLG",136
"SEBIOPAG_ZAAr","R01",2018,"Winter wheat","SEBIOPAG_ZAAr_R01_2018","10182883","BTH",1,1207.4115176773,7.89075405604689,1.88344908775319,1.49458108284344,2017,"10182883","MIS",5,2016,"3656283","BTH",1,2015,"3656283","MIS",5,2014,NA,NA,NA
"SEBIOPAG_ZAAr","R02",2018,"Maize ","SEBIOPAG_ZAAr_R02_2018","10172039","MIS",5,1214.83824389861,7.16547113052231,1.84127754679927,1.76528439635278,2017,"10172039","BTH",1,2016,"3698048","MIS",5,2015,"10354137","ORH",6,2014,NA,NA,NA
"SEBIOPAG_ZAAr","R03",2018,"Winter barley","SEBIOPAG_ZAAr_R03_2018","3656018","ORH",6,716.754875242636,3.15722075627117,2.67465743815363,2.53837709392146,2017,"3656018","BTH",1,2016,"3656018","MIS",5,2015,"3656018","ORH",6,2014,NA,NA,NA
"SEBIOPAG_ZAAr","R04",2018,"Temporary grassland","SEBIOPAG_ZAAr_R04_2018","12380135","PTR",188,851.405630679279,3.53410546551198,1.40241139594549,1.7456004113755,2017,"3737401","PTR",188,2016,"3737401","PTR",188,2015,"3737401","BTH",1,2014,NA,NA,NA
